,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,profit.datatype,profit.type,profit.value,officialname.xml:lang,officialname.type,officialname.value,assets.datatype,assets.type,assets.value,markcap.datatype,markcap.type,markcap.value,equity.datatype,equity.type,equity.value,country
163,uri,http://www.wikidata.org/entity/Q109949625,en,literal,The Outer Zone,,,,,,,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q1748,literal,,,,,,,,,,,,,,,,,wd:Q35
164,uri,http://www.wikidata.org/entity/Q12319200,en,literal,jem & fix,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q27116,literal,,,,,,,,,,,,,,,,,wd:Q35
165,uri,http://www.wikidata.org/entity/Q17050121,en,literal,Elgiganten,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1994-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,http://www.wikidata.org/entity/Q126793,literal,,literal,,literal,"http://www.wikidata.org/entity/Q1245744, http://www.wikidata.org/entity/Q1748",literal,,,,,,,,,,,,,,,,,wd:Q35
166,uri,http://www.wikidata.org/entity/Q4682434,en,literal,Adform,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2002-01-17T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q20988251,literal,,,,,da,literal,Adform A/S,,,,,,,,,,wd:Q35
167,uri,http://www.wikidata.org/entity/Q64139027,en,literal,Omoda,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1875-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,"http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q81076,literal,,,,,nl,literal,Omoda,,,,,,,,,,wd:Q35
168,uri,http://www.wikidata.org/entity/Q64139027,en,literal,Omoda,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1875-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q142,literal,"http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q81076,literal,,,,,fr,literal,Omoda,,,,,,,,,,wd:Q35
169,uri,http://www.wikidata.org/entity/Q115184198,,literal,Q115184198,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-06-23T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q25319,literal,,,,,,,,,,,,,,,,,wd:Q35
170,uri,http://www.wikidata.org/entity/Q11964499,,literal,Q11964499,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q35
171,uri,http://www.wikidata.org/entity/Q64139027,en,literal,Omoda,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1875-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q35,literal,"http://www.wikidata.org/entity/Q484847, http://www.wikidata.org/entity/Q126793",literal,,literal,,literal,http://www.wikidata.org/entity/Q81076,literal,,,,,da,literal,Omoda,,,,,,,,,,wd:Q35
172,uri,http://www.wikidata.org/entity/Q51616732,,literal,Q51616732,,,,,,,uri,http://www.wikidata.org/entity/Q35,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#decimal,literal,425685,,,,,,,,,,,,,wd:Q35
