,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,assets.datatype,assets.type,assets.value,profit.datatype,profit.type,profit.value,equity.datatype,equity.type,equity.value,markcap.datatype,markcap.type,markcap.value,country
1178,en,literal,Discover Financial,,,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,4392000000,,,,,,,wd:Q30
1179,en,literal,Apologetics Press,,,,,,,,,,,,,,,,wd:Q30
1180,en,literal,CNC Machines,,,,,,,,,,,,,,,,wd:Q30
1181,en,literal,Tiger Oak Media,,,,,,,,,,,,,,,,wd:Q30
1182,en,literal,University of Pittsburgh,http://www.w3.org/2001/XMLSchema#decimal,literal,13264,http://www.w3.org/2001/XMLSchema#decimal,literal,8011856079,,,,,,,,,,wd:Q30
1183,en,literal,Popcannibal,,,,,,,,,,,,,,,,wd:Q30
1184,en,literal,Herb's Country Deli Restaurant,,,,,,,,,,,,,,,,wd:Q30
1185,en,literal,Netgear,http://www.w3.org/2001/XMLSchema#decimal,literal,307,,,,,,,,,,,,,wd:Q30
1186,en,literal,Netgear,http://www.w3.org/2001/XMLSchema#decimal,literal,388,,,,,,,,,,,,,wd:Q30
1187,en,literal,Netgear,http://www.w3.org/2001/XMLSchema#decimal,literal,518,,,,,,,,,,,,,wd:Q30
1188,en,literal,Netgear,http://www.w3.org/2001/XMLSchema#decimal,literal,791,,,,,,,,,,,,,wd:Q30
1189,en,literal,AirHelp,http://www.w3.org/2001/XMLSchema#decimal,literal,500,,,,,,,,,,,,,wd:Q30
1190,en,literal,Yo Mama's Ice Cream,,,,,,,,,,,,,,,,wd:Q30
1191,en,literal,BMO Bank,http://www.w3.org/2001/XMLSchema#decimal,literal,14200,,,,,,,,,,,,,wd:Q30
1192,en,literal,Mobius Digital,,,,,,,,,,,,,,,,wd:Q30
1193,en,literal,Island Wing Company,,,,,,,,,,,,,,,,wd:Q30
1194,en,literal,Emmis Communications,http://www.w3.org/2001/XMLSchema#decimal,literal,350,,,,,,,,,,,,,wd:Q30
1195,en,literal,YouTube,http://www.w3.org/2001/XMLSchema#decimal,literal,2000,,,,,,,,,,,,,wd:Q30
1196,en,literal,The Hartford,http://www.w3.org/2001/XMLSchema#decimal,literal,17400,http://www.w3.org/2001/XMLSchema#decimal,literal,228300000000,http://www.w3.org/2001/XMLSchema#decimal,literal,1815000000,http://www.w3.org/2001/XMLSchema#decimal,literal,17642000000,http://www.w3.org/2001/XMLSchema#decimal,literal,17870000000,wd:Q30
1197,en,literal,Groupon,http://www.w3.org/2001/XMLSchema#decimal,literal,3675,http://www.w3.org/2001/XMLSchema#decimal,literal,1157881000,http://www.w3.org/2001/XMLSchema#decimal,literal,120348000,http://www.w3.org/2001/XMLSchema#decimal,literal,210296000,,,,wd:Q30
1198,en,literal,Heritage Gallery,,,,,,,,,,,,,,,,wd:Q30
1199,en,literal,Trese Brothers,,,,,,,,,,,,,,,,wd:Q30
1200,en,literal,Shift4 Payments,,,,,,,,,,,,,,,,wd:Q30
1201,en,literal,Dog Haus,,,,,,,,,,,,,,,,wd:Q30
1202,en,literal,Atmos Games,,,,,,,,,,,,,,,,wd:Q30
