company_id,edge_type,val_id,node_type
4295877934.0,Macro Industry,Industrials,Industry
4295894926.0,Macro Industry,Energy and Power,Industry
4295905017.0,Macro Industry,Energy and Power,Industry
4295882311.0,Macro Industry,Consumer Products and Services,Industry
4295884700.0,Macro Industry,Industrials,Industry
4295875738.0,Macro Industry,Industrials,Industry
4295866829.0,Macro Industry,Media and Entertainment,Industry
4295871045.0,Macro Industry,Healthcare,Industry
4295903824.0,Macro Industry,Consumer Staples,Industry
4295860280.0,Macro Industry,Financials,Industry
4295858832.0,Macro Industry,Energy and Power,Industry
4295906553.0,Macro Industry,Consumer Staples,Industry
4295882134.0,Macro Industry,Materials,Industry
4295880582.0,Macro Industry,Industrials,Industry
4295880965.0,Macro Industry,Consumer Staples,Industry
5000073308.0,Macro Industry,High Technology,Industry
4298437702.0,Macro Industry,Consumer Products and Services,Industry
4295885457.0,Macro Industry,Financials,Industry
5052537751.0,Macro Industry,Consumer Products and Services,Industry
4295878967.0,Macro Industry,Consumer Products and Services,Industry
5051778966.0,Macro Industry,Financials,Industry
5000001276.0,Macro Industry,Media and Entertainment,Industry
4295903886.0,Macro Industry,Real Estate,Industry
4296633925.0,Macro Industry,Healthcare,Industry
4295872667.0,Macro Industry,Healthcare,Industry
4295890423.0,Macro Industry,Consumer Staples,Industry
4298015145.0,Macro Industry,Materials,Industry
5073343366.0,Macro Industry,Financials,Industry
5034821789.0,Macro Industry,Financials,Industry
5034821789.0,Macro Industry,Financials,Industry
5042274178.0,Macro Industry,Consumer Products and Services,Industry
5073343366.0,Macro Industry,Financials,Industry
4295885600.0,Macro Industry,Financials,Industry
5055463270.0,Macro Industry,Healthcare,Industry
4295904811.0,Macro Industry,Energy and Power,Industry
4295866127.0,Macro Industry,Financials,Industry
5055421947.0,Macro Industry,Healthcare,Industry
5055421947.0,Macro Industry,Healthcare,Industry
4295858398.0,Macro Industry,Materials,Industry
5081362219.0,Macro Industry,Industrials,Industry
4295906528.0,Macro Industry,Industrials,Industry
5039586530.0,Macro Industry,Financials,Industry
4295898962.0,Macro Industry,Consumer Products and Services,Industry
4295903309.0,Macro Industry,Materials,Industry
5081073933.0,Macro Industry,Real Estate,Industry
4295886004.0,Macro Industry,Energy and Power,Industry
4295863937.0,Macro Industry,Retail,Industry
5036865268.0,Macro Industry,Energy and Power,Industry
5080177335.0,Macro Industry,Consumer Staples,Industry
5080177335.0,Macro Industry,Consumer Staples,Industry
4296549780.0,Macro Industry,Financials,Industry
5043416254.0,Macro Industry,Retail,Industry
5043415252.0,Macro Industry,Consumer Products and Services,Industry
5043415252.0,Macro Industry,Consumer Products and Services,Industry
4295907752.0,Macro Industry,Healthcare,Industry
5034749778.0,Macro Industry,Materials,Industry
