,company_id,edge_type,val_id,node_type
313,4295884483.0,Macro Industry,Financials,Industry
314,4295880502.0,Macro Industry,Industrials,Industry
315,4295866131.0,Macro Industry,Industrials,Industry
316,4298335166.0,Macro Industry,High Technology,Industry
317,5081184024.0,Macro Industry,Materials,Industry
318,5081184024.0,Macro Industry,Materials,Industry
319,4295884327.0,Macro Industry,Consumer Staples,Industry
320,5044200057.0,Macro Industry,Materials,Industry
321,5056443584.0,Macro Industry,Materials,Industry
322,4296608799.0,Macro Industry,Energy and Power,Industry
323,5053445359.0,Macro Industry,Consumer Products and Services,Industry
324,4295890097.0,Macro Industry,Financials,Industry
325,4295890097.0,Macro Industry,Financials,Industry
326,4295890097.0,Macro Industry,Financials,Industry
327,4295895428.0,Macro Industry,Industrials,Industry
328,5001428097.0,Macro Industry,Media and Entertainment,Industry
329,4295859111.0,Macro Industry,Materials,Industry
330,5052544379.0,Macro Industry,Financials,Industry
331,4295856605.0,Macro Industry,Financials,Industry
332,4295875073.0,Macro Industry,Retail,Industry
333,4295872569.0,Macro Industry,Energy and Power,Industry
334,4295913146.0,Macro Industry,Energy and Power,Industry
335,5069413392.0,Macro Industry,Media and Entertainment,Industry
336,5046653970.0,Macro Industry,Retail,Industry
337,5046653970.0,Macro Industry,Retail,Industry
338,4295890290.0,Macro Industry,Industrials,Industry
339,4295890290.0,Macro Industry,Industrials,Industry
340,5067485478.0,Macro Industry,Telecommunications,Industry
341,5060005330.0,Macro Industry,Energy and Power,Industry
342,4295890097.0,Macro Industry,Financials,Industry
343,4298315562.0,Macro Industry,Retail,Industry
344,4295885702.0,Macro Industry,Consumer Staples,Industry
345,4295890097.0,Macro Industry,Financials,Industry
346,4295890097.0,Macro Industry,Financials,Industry
347,4295890097.0,Macro Industry,Financials,Industry
348,4295911684.0,Macro Industry,Energy and Power,Industry
349,4295878728.0,Macro Industry,Consumer Products and Services,Industry
350,4295865201.0,Macro Industry,Energy and Power,Industry
351,4295880689.0,Macro Industry,Industrials,Industry
352,4295904485.0,Macro Industry,Energy and Power,Industry
353,4295881551.0,Macro Industry,Consumer Products and Services,Industry
354,5046714278.0,Macro Industry,Materials,Industry
355,4295890290.0,Macro Industry,Industrials,Industry
356,4295890290.0,Macro Industry,Industrials,Industry
357,4295890290.0,Macro Industry,Industrials,Industry
358,4295890290.0,Macro Industry,Industrials,Industry
359,4295890290.0,Macro Industry,Industrials,Industry
360,5046624962.0,Macro Industry,Energy and Power,Industry
361,5044200057.0,Macro Industry,Materials,Industry
362,4295860294.0,Macro Industry,Energy and Power,Industry
363,5000007999.0,Macro Industry,Consumer Products and Services,Industry
364,5000043149.0,Macro Industry,Energy and Power,Industry
365,4295890097.0,Macro Industry,Financials,Industry
366,4295890097.0,Macro Industry,Financials,Industry
367,4295890097.0,Macro Industry,Financials,Industry
368,4295861228.0,Macro Industry,Energy and Power,Industry
369,4295890290.0,Macro Industry,Industrials,Industry
370,4295913879.0,Macro Industry,Consumer Products and Services,Industry
371,4295890290.0,Macro Industry,Industrials,Industry
372,4295890290.0,Macro Industry,Industrials,Industry
373,4295890290.0,Macro Industry,Industrials,Industry
374,4295880544.0,Macro Industry,Industrials,Industry
375,4295862776.0,Macro Industry,Materials,Industry
376,4295890290.0,Macro Industry,Industrials,Industry
377,4295890290.0,Macro Industry,Industrials,Industry
378,5081184024.0,Macro Industry,Materials,Industry
379,4295856249.0,Macro Industry,Materials,Industry
380,4295890290.0,Macro Industry,Industrials,Industry
381,4295890290.0,Macro Industry,Industrials,Industry
382,4295890290.0,Macro Industry,Industrials,Industry
383,5058607013.0,Macro Industry,Industrials,Industry
384,5081184024.0,Macro Industry,Materials,Industry
385,5081184024.0,Macro Industry,Materials,Industry
386,5081184024.0,Macro Industry,Materials,Industry
387,4297767900.0,Macro Industry,Energy and Power,Industry
388,4295868766.0,Macro Industry,Industrials,Industry
389,4295894878.0,Macro Industry,Real Estate,Industry
390,4295860294.0,Macro Industry,Energy and Power,Industry
391,4295875604.0,Macro Industry,Financials,Industry
392,4296029025.0,Macro Industry,High Technology,Industry
393,4295880372.0,Macro Industry,Industrials,Industry
394,4295865147.0,Macro Industry,Materials,Industry
395,5001150689.0,Macro Industry,Energy and Power,Industry
396,4295868021.0,Macro Industry,Industrials,Industry
397,4295887265.0,Macro Industry,Financials,Industry
398,4295863184.0,Macro Industry,Materials,Industry
399,5037842611.0,Macro Industry,Media and Entertainment,Industry
400,4295877934.0,Macro Industry,Industrials,Industry
401,4295877934.0,Macro Industry,Industrials,Industry
402,4295877934.0,Macro Industry,Industrials,Industry
403,4295894926.0,Macro Industry,Energy and Power,Industry
404,4295905017.0,Macro Industry,Energy and Power,Industry
405,4295882311.0,Macro Industry,Consumer Products and Services,Industry
406,4295884700.0,Macro Industry,Industrials,Industry
407,4295875738.0,Macro Industry,Industrials,Industry
408,4295866829.0,Macro Industry,Media and Entertainment,Industry
409,4295871045.0,Macro Industry,Healthcare,Industry
410,4295903824.0,Macro Industry,Consumer Staples,Industry
411,4295860280.0,Macro Industry,Financials,Industry
412,4295858832.0,Macro Industry,Energy and Power,Industry
413,4295906553.0,Macro Industry,Consumer Staples,Industry
414,4295882134.0,Macro Industry,Materials,Industry
415,4295880582.0,Macro Industry,Industrials,Industry
416,4295880965.0,Macro Industry,Consumer Staples,Industry
417,5000073308.0,Macro Industry,High Technology,Industry
418,4298437702.0,Macro Industry,Consumer Products and Services,Industry
419,4295885457.0,Macro Industry,Financials,Industry
420,5052537751.0,Macro Industry,Consumer Products and Services,Industry
421,4295878967.0,Macro Industry,Consumer Products and Services,Industry
422,5051778966.0,Macro Industry,Financials,Industry
423,5000001276.0,Macro Industry,Media and Entertainment,Industry
424,4295903886.0,Macro Industry,Real Estate,Industry
425,4296633925.0,Macro Industry,Healthcare,Industry
426,4295872667.0,Macro Industry,Healthcare,Industry
427,4295890423.0,Macro Industry,Consumer Staples,Industry
428,4298015145.0,Macro Industry,Materials,Industry
429,5073343366.0,Macro Industry,Financials,Industry
430,5034821789.0,Macro Industry,Financials,Industry
431,5034821789.0,Macro Industry,Financials,Industry
432,5042274178.0,Macro Industry,Consumer Products and Services,Industry
433,5073343366.0,Macro Industry,Financials,Industry
434,4295885600.0,Macro Industry,Financials,Industry
435,5055463270.0,Macro Industry,Healthcare,Industry
