,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,origindate.datatype,origindate.type,origindate.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,country
39,uri,http://www.wikidata.org/entity/Q117306739,en,literal,Petmall,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
40,uri,http://www.wikidata.org/entity/Q85614408,en,literal,TexCycle,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q622934,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,,,,,,,,,,,,,wd:Q219
41,uri,http://www.wikidata.org/entity/Q118720091,,literal,Q118720091,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2011-01-01T00:00:00Z,,,,,,,,,,wd:Q219
42,uri,http://www.wikidata.org/entity/Q110583289,en,literal,EasyPay (Bulgaria),uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
43,uri,http://www.wikidata.org/entity/Q61140282,en,literal,Winbet,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,,,,,,,,,,wd:Q219
44,uri,http://www.wikidata.org/entity/Q118559425,en,literal,A Plus Films,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2008-09-01T00:00:00Z,,,,,,,,,,wd:Q219
45,uri,http://www.wikidata.org/entity/Q12279128,en,literal,Dramatichno-kuklen Teatr Konstantin Velichkov,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1870-01-01T00:00:00Z,,,,,,,,,,wd:Q219
46,uri,http://www.wikidata.org/entity/Q118359929,en,literal,mat star,uri,http://www.wikidata.org/entity/Q219,literal,http://www.wikidata.org/entity/Q22676,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
47,uri,http://www.wikidata.org/entity/Q25484895,en,literal,Hit Mix Music,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
48,uri,http://www.wikidata.org/entity/Q119168386,en,literal,Minimart,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
49,uri,http://www.wikidata.org/entity/Q12270598,en,literal,Bulsatcom,uri,http://www.wikidata.org/entity/Q219,literal,"http://www.wikidata.org/entity/Q56598901, http://www.wikidata.org/entity/Q25245117, http://www.wikidata.org/entity/Q289",literal,,literal,,literal,http://www.wikidata.org/entity/Q472,literal,,bg,literal,„Булсатком“ ЕООД,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-01T00:00:00Z,http://www.w3.org/2001/XMLSchema#decimal,literal,1547,http://www.w3.org/2001/XMLSchema#decimal,literal,-21166000,http://www.w3.org/2001/XMLSchema#decimal,literal,257717000,wd:Q219
50,uri,http://www.wikidata.org/entity/Q115656547,en,literal,Aladin Foods,uri,http://www.wikidata.org/entity/Q219,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,wd:Q219
