,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,origindate.datatype,origindate.type,origindate.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,country
53,uri,http://www.wikidata.org/entity/Q56377600,en,literal,Super Liga Americana de Rugby,uri,http://www.wikidata.org/entity/Q77,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2020-01-01T00:00:00Z,,,,,,,,,,wd:Q298
54,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q77,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,wd:Q298
55,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q228,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,wd:Q298
56,uri,http://www.wikidata.org/entity/Q122418872,en,literal,W Type Foundry,uri,http://www.wikidata.org/entity/Q298,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2016-01-01T00:00:00Z,,,,,,,,,,wd:Q298
57,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q77,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,wd:Q298
58,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q228,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,wd:Q298
59,uri,http://www.wikidata.org/entity/Q1321868,en,literal,LATAM Airlines Group,uri,http://www.wikidata.org/entity/Q155,literal,http://www.wikidata.org/entity/Q1875606,literal,,literal,,literal,http://www.wikidata.org/entity/Q14484,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2012-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,43095,,,,wd:Q298
60,uri,http://www.wikidata.org/entity/Q2982375,en,literal,Colbun S.A.,uri,http://www.wikidata.org/entity/Q298,literal,http://www.wikidata.org/entity/Q2151621,literal,,literal,,literal,http://www.wikidata.org/entity/Q2887,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1986-09-01T00:00:00Z,,,,,,,,,,wd:Q298
61,uri,http://www.wikidata.org/entity/Q101609467,en,literal,NotCo,uri,http://www.wikidata.org/entity/Q298,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,,,,,,,,,,wd:Q298
62,uri,http://www.wikidata.org/entity/Q123282210,en,literal,Route 5 Games,uri,http://www.wikidata.org/entity/Q298,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q298
63,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q774,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,wd:Q298
64,uri,http://www.wikidata.org/entity/Q1284408,en,literal,Pontifical Catholic University of Valparaíso,uri,http://www.wikidata.org/entity/Q298,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1925-01-01T00:00:00Z,,,,,,,,,,wd:Q298
65,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q774,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,wd:Q298
66,uri,http://www.wikidata.org/entity/Q62564610,en,literal,Farmacias Similares,uri,http://www.wikidata.org/entity/Q774,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1997-09-08T00:00:00Z,,,,,,,,,,wd:Q298
67,uri,http://www.wikidata.org/entity/Q5550654,en,literal,Radio Agricultura,uri,http://www.wikidata.org/entity/Q298,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1936-10-15T00:00:00Z,,,,,,,,,,wd:Q298
68,uri,http://www.wikidata.org/entity/Q115898759,en,literal,Todomoda,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,wd:Q298
69,uri,http://www.wikidata.org/entity/Q57417531,,literal,Q57417531,uri,http://www.wikidata.org/entity/Q298,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2000-01-02T00:00:00Z,,,,,,,,,,wd:Q298
70,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q241,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,wd:Q298
71,uri,http://www.wikidata.org/entity/Q36879490,en,literal,Rappi,uri,http://www.wikidata.org/entity/Q414,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2841,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-01-01T00:00:00Z,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,8000,,,,wd:Q298
72,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q783,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,wd:Q298
73,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q241,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,wd:Q298
74,uri,http://www.wikidata.org/entity/Q3551327,en,literal,University of La Serena,uri,http://www.wikidata.org/entity/Q298,literal,,literal,,literal,,literal,,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-01-01T00:00:00Z,,,,,,,,,,wd:Q298
75,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q96,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,wd:Q298
76,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q783,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,wd:Q298
77,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,uri,http://www.wikidata.org/entity/Q786,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,wd:Q298
